ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
600,UR,Y,Mousse (Duck),Mousse,,,UR,0,,
601,SR,Y,Happosai,Happosai (Lewd),,,GachaSR,0,,
602,SR,Y,Ukyo Kuonji (GR),Ukyo Kuonji,,,GachaSR,0,,
603,SR,Y,Tatewaki Kuno (Gi),Tatewaki Kuno,,,GachaSR,0,,
604,RR,Y,Ranma Cat (M),Ranma Cat (F),,,,0,,
605,RR,Y,Akane Cat,Akane Cat (Gi),,,GachaRare,0,,
606,EX,Y,Panda Cat,Genma Cat,,,,0,,
607,UR,Y,Adventurer Kanna,Swashbuckler Kanna,Fabled Adventure Girl Kanna,,UR,1,Move_Speed10-Survive10-Slow_Immune1-Defense10-Attack10,
608,EX,Y,Wafer Cat,Wafer Cat XL,,,,0,,
609,UR,Y,Dark Aegis Garu,Dark Beastlord Garu,,,UR,0,,
610,EX,Y,Gold Brick Cat,King Ingot Cat,King Nekokhamen,,,0,,
611,RR,Y,Godzilla Cat,Shin Godzilla Cat,,,,0,,
612,UR,Y,Princess Cat,Empress Cat,,,UR,0,,
613,EX,Y,Elder Mask Doron,Cat Mask Doron,Awakened Doron,,,0,,
614,UR,Y,Kaguya of the Coast,The Southern Sun,The Southern Sunflare,,UR,0,,
615,EX,Y,Kabuto Cat,Golden Kabuto Cat,,,Plus40,0,,
616,EX,Y,Kuwagata Cat,King Kuwagata Cat,,,Plus40,0,,
617,UR,Y,Summoner Satoru,Dark Summoner Satoru,Devil Hunter Satoru,,UR,1,Survive10-Curse_Immune1-Knockback_Immune1-Defense10-Attack10,
618,UR,Y,Amakusa Shiro,Wargod Amakusa,Immortal Amakusa,,UR,1,Dodge10-Freeze_Immune1-Defense10-Attack10-Recover_Speed10,
619,UR,Y,Lilin,"Lilin, type π",Divine Lilin π,,UR,1,Freeze10-Weaken_Immune1-Slow_Resist10-Defense10-Attack10,
620,UR,Y,Hevijak the Wicked,Wicked King Hevijak,God-Emperor Hevijak,,UR,1,Strengthen10-Wave_Immune1-Knockback_Immune1-Defense10-Attack10,
621,RR,Y,Aku Researcher,Evil Aku Researcher,Cat Researcher,,,0,,
622,EX,Y,Jagando Jr.,Lord of Ruin Jagando Jr.,,,,0,,
623,RR,Y,Pied Piper Cat,Komuso Cat,Brass Cat,,,0,,
624,UR,Y,Kunio-kun,Dodgeball Kunio-kun,,,UR,0,,
625,UR,Y,Furiluga,Furilan Pasalan,Ragelan Pasalan,,UR,1,Strengthen10-Survive10-Wave_Resist10-Defense10-Attack10,
626,EX,N,Cat Giraffe Modoki,Suruma Cat Giraffe Modoki,,,JRA,0,,
627,EX,N,Catnip Tricky,Tenma Catnip Tricky,,,JRA,0,,
628,EX,N,Catnip Dragon,Famous Catnip Dragon,,,JRA,0,,
629,SR,Y,Brainwashed Cat,Brainwashed Macho Cat,Brainwashed Mohawk Cat,,GachaSR,0,,
630,RR,Y,Calligraphy Cat,Tea Master Cat,,,,0,,
631,UR,Y,Yamii,Yaminoir,Yaminora,,UR,1,Shield_Pierce10-Curse_Immune1-Slow_Resist10-Defense10-Attack10,
632,UR,Y,Mighty Deth-Troy-R,Siege Walker Diabolosa,Obliterator Diabolosa,,UR,1,Colossus_Slayer1-Surge_Immune1-Knockback_Immune1-Soulstrike1-Defense10-Attack10,
633,UR,Y,Shitakiri Sparrow,Chunchun Haunters,Grand Chunchun Haunters,,UR,1,Curse10-Wave_Resist10-Cost_Down10-Defense10-Attack10,
634,UR,Y,White Knight Cyclops,Black Knight Kyklops,Demon Knight Kyklops,,UR,1,Strengthen10-Wave_Immune1-Cost_Down10-Defense10-Attack10,
635,EX,Y,Million-Dollar Cat,Hundred-Million-Dollar Cat,,,Plus25,0,,
636,SR,Y,Brainwashed Tank Cat,Brainwashed Wall Cat,Brainwashed Eraser Cat,,GachaSR,0,,
637,EX,N,Sora & Cat,Sora & Cat CC,,,,0,,
638,RR,N,Nana & Cat,Nana & Cat CC,,,,0,,
639,RR,N,Emilia & Cat,Emilia & Cat CC,,,,0,,
640,EX,N,Ann & Cat,Ann & Cat CC,,,,0,,
641,UR,Y,Iz the Dancer,Iz the Alluring Dancer,,,UR,0,,
642,UR,Y,Lucifer the Fallen,Grand Lucifer,Almighty Lucifer,,UR,1,Target_Angel1-Survive10-Freeze_Resist10-Defense10-Attack10,
643,N,Y,Superfeline,Superfeline II,True Superfeline,,Normal,0,,
644,UR,Y,Sweet Love Mekako,Bittersweet Mekako,Minty Love Mekako,,UR,0,,
645,SR,Y,Brainwashed Axe Cat,Brainwashed Brave Cat,Brainwashed Dark Cat,,GachaSR,0,,
646,EX,Y,Firecracker Cat,Macho Firecracker Cat,,,Plus30,0,,
647,UR,Y,Terun,"Terun, type ζ",Divine Terun ζ,,UR,1,Barrier_Breaker10-Wave_Immune1-Savage_Blow10-Defense10-Attack10,
648,UR,Y,Lovestruck Lesser Demon,Lovestruck Greater Demon,,,UR,0,,
649,UR,Y,Hattori Hanzo,Wargod Hanzo,Immortal Hanzo,,UR,0,,
650,EX,Y,Secret Crush Cat,Girlfriend Cat,,,Catcademy,0,,
651,EX,Y,Tomboy Lion Cat,Iron-Masked Lion Cat,,,Catcademy,0,,
652,EX,Y,Chalkboard Eraser Cat,Chalkboard Punk Cat,,,Catcademy,0,,
653,EX,Y,Elder Beast Naala,Storm Beast Naala,Awakened Naala,,,0,,
654,SR,Y,Brainwashed Gross Cat,Brainwashed Sexy Legs Cat,Brainwashed Macho Legs Cat,,GachaSR,0,,
655,UR,Y,Bliza,Blizana,Blizarena,,UR,0,,
656,EX,Y,Ancient Egg: N001,Mystic Egg: N001,Haniwa Cat,,,0,,
657,UR,Y,Iz the Dancer of Grief,Iz the Lady of Mourning,,,UR,0,,
658,RR,Y,Ancient Egg: N101,Cinnabar Egg: N101,Courier Cat,,,0,,
659,RR,Y,Ancient Egg: N102,Teal Egg: N102,Catarzan,,,0,,
660,UR,Y,Sea Serpent Daliasan,Sea King Daliasan,God-Emperor Daliasan,,UR,0,,
661,UR,Y,Chronos the Bride,Wedding Chronos,,,UR,0,,
662,SR,Y,Brainwashed Cow Cat,Brainwashed Giraffe Cat,Brainwashed Lion Cat,,GachaSR,0,,
663,RR,Y,Ancient Egg: N103,Black Egg: N103,Gas Mask Cat,,,0,,
664,RR,Y,Ancient Egg: N104,Green Egg: N104,Surgeon Cat,,,0,,
665,EX,Y,Ancient Egg: N201,Dark Egg: N201,Exorcist Cat,,Plus20,0,,
666,UR,Y,Night Beach Lilin,Night Beach Lilinπ,,,UR,0,,
667,SR,Y,Brainwashed Bird Cat,Brainwashed UFO Cat,Brainwashed Flying Cat,,GachaSR,0,,
668,UR,Y,Cat Tengu,Grand Yokai Tengu,Immortal Master Tengu,,UR,0,,
669,EX,Y,Ancient Egg: N003,Evil Egg: N003,Cat Cactus,,,0,,
670,EX,Y,Ancient Egg: N202,Cinnabar Egg: N202,Armored Firefly Cat,,Plus20,0,,
671,UR,Y,Ranma Saotome (Leotard),Ranma Saotome (Cheer),,,UR,0,,
672,SR,Y,Genma Saotome (Panda),Genma Saotome,,,GachaSR,0,,
673,UR,Y,Cheetah Cat,,,,Cheating,0,,
674,UR,Y,Mighty Carrowsell,Extraterrestrial Envanz,Extradimensional Envanz,,UR,0,,
675,RR,Y,Ancient Egg: N105,Teal Egg: N105,Racquet Cat,,,0,,
676,RR,Y,Ancient Egg: N106,Amber Egg: N106,Mushroom Cat,,,0,,
677,RR,Y,Osamu Mikumo & Cat,Osamu Mikumo & Cat CC,,,,0,,
678,RR,Y,Yuma Kuga & Cat,Yuma Kuga & Cat CC,,,,0,,
679,EX,Y,Chika Amatori & Cat,Chika Amatori & Cat CC,,,,0,,
680,UR,Y,Sakura,Sakura CC,,,UR,0,,
681,UR,Y,Luke,Luke CC,,,UR,0,,
682,UR,Y,Spectral Goth Vega,Illusory Guardian Vega,Lady of Deception Vega,,UR,0,,
683,UR,Y,Count Yukimura,Nosferatu Yukimura,Vampiric Yukimura,,UR,0,,
684,SR,Y,Brainwashed Fish Cat,Brainwashed Whale Cat,Brainwashed Island Cat,,GachaSR,0,,
685,EX,Y,Ancient Egg: N004,Mystic Egg: N004,Supercar Cat,,,0,,
686,UR,Y,Goddess of Light Sirius,Goddess of Sunrise Sirius,,,UR,0,,
687,UR,Y,Reindeer Terun,Reindeer Terunζ,,,UR,0,,
688,SR,Y,Brainwashed Lizard Cat,Brainwashed Dragon Cat,Brainwashed King Dragon Cat,,GachaSR,0,,
689,EX,Y,Meditation Cat,Paragon Cat,,,Plus25,0,,
690,UR,Y,Child of Destiny Phono,King of Destiny Phonoa,,,UR,0,,
691,EX,Y,Ancient Egg: N000,Elder Egg: N000,Ape Lord Luza,,,0,,
692,UR,Y,Issun Boshi,Oni Landshaker Kozuchimaru,Oni Battlepod Kozuchimaru,,UR,0,,
693,UR,Y,White Butler Vigler,Black Butler Vigler,,,UR,0,,
694,SR,Y,Brainwashed Titan Cat,Brainwashed Mythic Titan,Brainwashed Jamiera Cat,,GachaSR,0,,
695,RR,Y,Killer Tank Cat,True Killer Tank Cat,,,,0,,
696,EX,Y,Class Rep Cat,Stealth Class Rep Cat,,,CursedCatcademy,0,,
697,RR,Y,Ancient Egg: N107,Violet Egg: N107,Cat Chief,,,0,,
698,UR,Y,Thunder Jack,Bloody Jack,Lightning Jack,,UR,0,,
699,UR,Y,Rabbit Satoru,Rabbit Champion Satoru,,,UR,0,,
