ID,Form,Cost,Health,Damage,Range,KBCount,Speed,Cooldown,HasArea,Traits,Abilities
700,0,180,100,2,100,1,5,6.67,F,,
700,1,180,100,2,100,1,5,6.67,F,Traitless,Massive_Damage
700,2,960,1000,1100,300,3,15,20,T,Traitless,Freeze_Immune-Long_Distance-Massive_Damage-Wave_Immune
701,0,675,290,390,300,2,11,17.33,F,Red,Long_Distance-Massive_Damage-Resistant
701,1,675,290,390,300,2,11,17.33,F,Red,Long_Distance-Massive_Damage-Resistant
702,0,660,320,480,310,2,4,18,F,Floating,Massive_Damage-Multi_Hit-Resistant
702,1,660,320,480,310,2,4,18,F,Floating,Massive_Damage-Multi_Hit-Resistant
703,0,690,315,525,270,2,9,17.67,F,Angel,Massive_Damage-Resistant
703,1,690,315,525,270,2,9,17.67,F,Angel,Massive_Damage-Resistant
704,0,750,250,280,325,2,5,20.33,F,Dark,Massive_Damage-Resistant
704,1,750,250,280,325,2,5,20.33,F,Dark,Massive_Damage-Resistant
705,0,5100,2600,2100,500,5,30,146.67,T,All,Long_Distance-Mini_Surge-Multi_Hit-Slow-Surge_Immune-Wave_Immune
705,1,5100,3400,3000,500,5,30,146.67,T,All,Curse_Immune-Long_Distance-Mini_Surge-Multi_Hit-Slow-Surge_Immune-Wave_Immune
706,0,180,100,2,100,1,5,6.67,F,,
706,1,180,100,2,100,1,5,6.67,F,Alien,Resistant
706,2,1200,3500,100,130,1,25,18.67,T,Alien,Behemoth_Slayer-Resistant-Slow_Immune-Weaken
707,0,180,100,2,100,1,5,6.67,F,,
707,1,180,100,2,100,1,5,6.67,F,Aku,Resistant
707,2,990,800,350,300,2,8,26.67,T,Aku,Behemoth_Slayer-Long_Distance-Resistant-Shield_Pierce-Surge_Immune
708,0,390,900,200,180,1,25,12.67,T,Alien-Dark,Colossus_Slayer-Resistant-Slow_Immune
708,1,390,900,200,180,1,25,12.67,T,Alien-Dark,Colossus_Slayer-Resistant-Slow_Immune
709,0,4800,3600,750,400,4,10,133.33,T,All,Colossus_Slayer-Curse-Eva_Killer-Freeze_Immune-Long_Distance-Slow_Immune-Surge-Toxic_Immune
709,1,4800,3600,750,400,4,10,133.33,T,All,Colossus_Slayer-Curse-Eva_Killer-Freeze_Immune-Long_Distance-Slow_Immune-Surge-Toxic_Immune
710,0,4320,4800,1440,460,3,8,173.33,T,Aku,Eva_Killer-Mini_Surge-Multi_Hit-Strong-Surge_Immune
710,1,4320,4800,1440,460,3,8,173.33,T,Aku,Eva_Killer-Mini_Surge-Multi_Hit-Strong-Surge_Immune
711,0,4500,500,150,140,5,3,33.33,F,,
711,1,4500,1200,635,640,1,4,333.33,T,All,Freeze-Multi_Hit-Omnistrike
712,0,4500,500,150,140,5,4,33.33,F,,
712,1,4500,1200,3000,710,1,4,333.33,T,All,Knockback-Mini_Surge
712,2,4500,1800,3000,710,1,4,333.33,T,All,Colossus_Slayer-Knockback-Mini_Surge-Surge_Immune
713,0,180,100,2,100,1,5,6.67,F,,
713,1,180,100,2,100,1,5,6.67,F,Zombie,Slow
713,2,570,610,129,300,3,10,18,F,Zombie,Behemoth_Slayer-Slow-Soulstrike-Zombie_Killer
714,0,4725,2100,870,400,3,12,140,T,Alien-Floating,Long_Distance-Massive_Damage-Multi_Hit-Surge
714,1,4725,2790,380,400,3,12,140,T,Alien-Floating,Long_Distance-Massive_Damage-Multi_Hit-Surge
715,0,5100,8400,700,150,2,45,153.33,T,Metal-Red-Zombie,Omnistrike-Resistant-Soulstrike-Weaken-Zombie_Killer
715,1,5100,8400,700,150,2,45,153.33,T,Metal-Red-Zombie,Omnistrike-Resistant-Soulstrike-Weaken-Zombie_Killer
715,2,5100,10000,700,150,4,55,153.33,T,Metal-Red-Zombie,Knockback-Omnistrike-Resistant-Soulstrike-Wave-Weaken-Zombie_Killer
716,0,180,100,2,100,1,5,6.67,F,,
716,1,180,100,2,100,1,5,6.67,F,Traitless,Strong
716,2,1125,2000,720,250,2,8,23.33,T,Traitless,Behemoth_Slayer-Strong
717,0,180,100,2,100,1,5,6.67,F,,
717,1,180,100,2,100,1,5,6.67,F,Angel,Slow
717,2,540,820,50,350,4,12,18,F,Angel,Behemoth_Slayer-Slow-Wave_Immune
718,0,375,1100,270,170,1,20,12.67,F,Aku-Relic,Colossus_Slayer-Curse_Immune-Freeze_Immune-Multi_Hit-Resistant
718,1,375,1100,270,170,1,20,12.67,F,Aku-Relic,Colossus_Slayer-Curse_Immune-Freeze_Immune-Multi_Hit-Resistant
719,0,1050,2750,700,130,2,8,26.67,T,Alien-Angel-Floating,Dodge-Surge_Immune-Warp_Immune
719,1,3300,5500,1800,170,2,8,80,T,Alien-Angel-Floating,Barrier_Breaker-Dodge-Resistant-Surge_Immune-Warp_Immune
719,2,3300,6050,2100,170,2,11,80,T,Alien-Angel-Floating,Barrier_Breaker-Dodge-Resistant-Surge_Immune-Warp_Immune
720,0,180,100,2,100,1,5,6.67,F,,
720,1,180,100,2,100,1,5,6.67,F,Aku,Insane_Damage
720,2,660,800,560,165,2,10,13.33,T,Aku,Behemoth_Slayer-Insane_Damage
721,0,2700,6000,1095,200,3,16,66.67,T,,Multi_Hit
721,1,2700,2400,840,450,3,24,106.67,T,All,Knockback-Long_Distance-Multi_Hit
722,0,3900,3000,730,350,3,10,100,T,Dark,Slow-Strong-Surge
722,1,3900,3900,970,350,3,10,100,T,Dark,Slow-Strong-Surge
723,0,4350,5600,350,300,3,15,120,T,,Colossus_Slayer-Strengthen-Wave
723,1,4350,7100,420,300,3,15,120,T,,Colossus_Slayer-Strengthen-Wave
723,2,4350,9230,462,300,3,15,120,T,,Colossus_Slayer-Freeze_Immune-Strengthen-Toxic_Immune-Wave
724,0,180,100,2,100,1,5,6.67,F,,
724,1,180,100,2,100,1,5,6.67,F,,
724,2,750,4000,1640,120,1,25,43.33,F,,Behemoth_Slayer-Freeze_Immune-Knockback_Immune-Slow_Immune-Surge_Immune-Warp_Immune-Weaken_Immune
725,0,4200,3000,1350,420,4,22,120,T,Aku-Traitless,Freeze-Long_Distance-Multi_Hit-Surge_Immune
725,1,4200,4800,2160,420,4,22,120,T,Aku-Traitless,Freeze-Long_Distance-Multi_Hit-Surge_Immune
726,0,750,800,80,210,2,8,40,F,All,Slow-Surge
726,1,750,800,80,210,2,8,40,F,All,Slow-Surge
727,0,4425,4100,3300,400,3,16,120,T,Alien-Angel-Red,Colossus_Slayer-Massive_Damage-Multi_Hit-Omnistrike
