ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
300,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
301,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
302,,1000000,red_fruit,1,yellow_fruit,5,aku_fruit,1,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,
304,,1000000,purple_fruit,4,red_fruit,7,blue_fruit,4,yellow_fruit,3,epic_fruit,3,235-235-175-175-175,2000000,purple_gem,1,red_stone,6,green_stone,2,elder_seed,3,,,
305,,1000000,green_fruit,3,purple_fruit,3,red_fruit,6,blue_fruit,6,epic_fruit,3,235-175-175-100-175-175,2000000,red_gem,2,yellow_stone,3,blue_stone,5,red_seed,5,purple_seed,5,
306,,1000000,green_fruit,7,red_fruit,4,blue_fruit,4,yellow_fruit,3,epic_fruit,3,235-100-175-100-175-175,2000000,purple_gem,1,blue_stone,5,green_fruit,5,purple_fruit,5,,,
307,,500000,green_fruit,1,purple_fruit,4,red_fruit,2,blue_fruit,1,epic_fruit,1,165-125-125-125-125,,,,,,,,,,,,
308,,200000,green_seed,1,red_seed,2,blue_seed,3,yellow_seed,2,purple_fruit,2,50-75-75-75-75,,,,,,,,,,,,
309,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
310,,1000000,green_fruit,1,blue_fruit,5,aku_fruit,1,,,,,175-100-100-175-175,,,,,,,,,,,,
311,LilFish,,,,,,,,,,,,75-165-125-125-125,,,,,,,,,,,,
312,LilLizard,,,,,,,,,,,,165-165-75-125-125,,,,,,,,,,,,
313,LilTitan,,,,,,,,,,,,165-75-125-125-125,,,,,,,,,,,,
314,,500000,green_seed,3,purple_seed,3,yellow_seed,3,epic_seed,1,aku_seed,1,,,,,,,,,,,,,
315,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
316,,1000000,blue_fruit,5,epic_seed,1,,,,,,,235-175-235-175-175,,,,,,,,,,,,
317,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,
319,Cat,200000,purple_stone,3,red_stone,3,blue_stone,3,green_stone,3,yellow_stone,3,,,,,,,,,,,,,
320,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
321,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
322,,1000000,green_fruit,3,purple_fruit,7,blue_fruit,2,yellow_fruit,7,epic_fruit,4,235-100-100-175-175,,,,,,,,,,,,
323,UR,1000000,green_fruit,10,purple_fruit,10,blue_fruit,10,yellow_fruit,10,elder_fruit,1,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,
325,,200000,green_seed,2,red_seed,2,blue_seed,1,yellow_seed,3,purple_fruit,2,50-75-95-75-75,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,
330,,1000000,gold_seed,1,yellow_fruit,5,aku_fruit,2,,,,,100-100-175-175-175,,,,,,,,,,,,
331,,1000000,purple_fruit,1,red_fruit,5,aku_fruit,1,,,,,,,,,,,,,,,,,
332,,500000,gold_seed,1,red_seed,3,yellow_seed,3,blue_fruit,3,epic_fruit,3,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,
334,,1000000,green_fruit,6,purple_fruit,2,red_fruit,4,yellow_fruit,6,epic_fruit,3,100-100-175-175-175,,,,,,,,,,,,285-225
335,,1000000,green_fruit,4,purple_fruit,4,red_fruit,8,blue_fruit,2,epic_fruit,3,100-100-175-175-175,,,,,,,,,,,,285-225-150
336,,1000000,purple_fruit,6,red_fruit,4,blue_fruit,6,yellow_fruit,2,epic_fruit,3,100-100-175-175-175,,,,,,,,,,,,
337,,1000000,epic_fruit,3,,,,,,,,,235-100-100-175-175,,,,,,,,,,,,
338,,1000000,green_fruit,4,purple_fruit,7,red_fruit,3,yellow_fruit,4,epic_fruit,3,100-235-175-175-175,,,,,,,,,,,,150-225-225
339,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,
341,,1000000,blue_fruit,3,yellow_fruit,3,epic_fruit,1,,,,,100-175-100-175-175,,,,,,,,,,,,285-150-225
342,GachaRare,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,
344,,500000,green_fruit,3,,,,,,,,,125-75-165-125-125,,,,,,,,,,,,
345,,1000000,green_fruit,3,yellow_fruit,3,epic_fruit,1,,,,,100-100-175-175-175,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,
347,GachaRare,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,
351,,1000000,purple_fruit,6,red_fruit,3,blue_fruit,6,yellow_fruit,3,epic_fruit,3,100-235-175-175-175,,,,,,,,,,,,285-150-225
352,UR,,,,,,,,,,,,,,,,,,,,,,,,
353,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,
355,,1000000,green_fruit,4,purple_fruit,3,blue_fruit,7,yellow_fruit,4,epic_fruit,3,235-100-175-175-175,,,,,,,,,,,,
356,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
357,,1000000,green_fruit,1,red_fruit,1,blue_fruit,2,yellow_fruit,2,epic_fruit,5,175-100-100-175-175,,,,,,,,,,,,285-150-150
358,,1000000,green_fruit,2,red_fruit,1,blue_fruit,1,yellow_fruit,2,epic_fruit,5,175-235-175-175-175,,,,,,,,,,,,
359,,1000000,green_fruit,4,red_fruit,4,blue_fruit,7,yellow_fruit,3,epic_fruit,3,235-175-175-175-175,2000000,blue_gem,2,blue_fruit,10,,,,,,,
360,,1000000,green_fruit,3,purple_fruit,4,red_fruit,4,blue_fruit,7,epic_fruit,3,175-175-235-175-175,2000000,green_gem,1,red_stone,2,blue_fruit,3,epic_fruit,3,,,
361,,1000000,purple_fruit,3,red_fruit,4,blue_fruit,7,yellow_fruit,4,epic_fruit,3,235-235-175-175-175,2000000,blue_gem,1,purple_stone,5,green_stone,5,,,,,
362,,1000000,epic_fruit,3,,,,,,,,,100-100-235-175-175,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,
369,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
370,,200000,purple_seed,2,red_seed,1,blue_seed,1,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,
373,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
374,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
375,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
376,,200000,green_seed,2,purple_seed,3,red_seed,1,yellow_seed,2,blue_fruit,2,95-50-75-75-75,,,,,,,,,,,,
377,,500000,purple_fruit,1,red_fruit,1,blue_fruit,4,yellow_fruit,2,epic_fruit,1,165-75-125-125-125,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,
381,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,
383,UR,,,,,,,,,,,,,,,,,,,,,,,,
384,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
385,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
386,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
387,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
388,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
389,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
390,,500000,blue_fruit,3,,,,,,,,,,,,,,,,,,,,,
391,,500000,yellow_fruit,3,,,,,,,,,,,,,,,,,,,,,
392,,500000,purple_fruit,3,,,,,,,,,,,,,,,,,,,,,
393,,1000000,green_fruit,3,purple_fruit,3,epic_fruit,1,,,,,,,,,,,,,,,,,
394,,1000000,red_fruit,3,yellow_fruit,3,epic_fruit,1,,,,,,,,,,,,,,,,,
395,,1000000,green_fruit,3,blue_fruit,3,epic_fruit,1,,,,,,,,,,,,,,,,,
396,,1000000,green_fruit,3,red_fruit,6,blue_fruit,6,yellow_fruit,3,epic_fruit,3,235-100-175-175-175,,,,,,,,,,,,
397,,1000000,purple_fruit,15,epic_fruit,1,,,,,,,100-100-235-175-175,2000000,purple_gem,2,red_gem,2,epic_seed,1,,,,,
398,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
399,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
