ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
700,EX,Y,Ancient Egg: N005,Mystic Egg: N005,Hitman Cat,,,0,,
701,RR,N,Kamen Rider Cat,Shin Kamen Rider Cat,,,,0,,
702,RR,N,Cat Godzilla,Shin Cat Godzilla,,,,0,,
703,RR,N,Evangelion Cat,Shin Evangelion Cat,,,,0,,
704,RR,N,Ultraman Cat,Shin Ultraman Cat,,,,0,,
705,UR,Y,King of Doom Phono,King of Extinction Phono,,,UR,0,,
706,SR,Y,Ancient Egg: N108,Teal Egg: N108,Soap Cat,,,0,,
707,RR,Y,Ancient Egg: N109,Dark Egg: N109,Barrel Cat,,,0,,
708,RR,Y,Jetpack Cat,Kinjirou Cat,,,,0,,
709,UR,Y,One-Eyed Asuka,Blue-Eyed Asuka,,,UR,0,,
710,UR,Y,Eva Unit-13,Eva Unit-13 & Cat,,,UR,0,,
711,UR,Y,Betrothed Balaluga,Betrothed Pasalan,,,UR,0,,
712,UR,Y,Kaoluga,Kaolan Pasalan,Kaolan Tatalan,,UR,0,,
713,EX,Y,Ancient Egg: N203,Violet Egg: N203,Clown Cat,,Plus20,0,,
714,UR,Y,Coastal Explorer Kanna,Deep-Diver Kanna,,,UR,0,,
715,UR,Y,Mighty Sphinx Korps,Attack Battalion Convoys,Hyper Battalion Convoys,,UR,0,,
716,SR,Y,Ancient Egg: N111,Mystic Egg: N111,Cop Cat,,,0,,
717,RR,Y,Ancient Egg: N110,Amber Egg: N110,Farmboy Cat,,,0,,
718,RR,Y,Maize Cat,Cone Cat,,,,0,,
719,UR,Y,Tekachi,Tetsukachi,Adamankachi,,UR,0,,
720,EX,Y,Ancient Egg: N006,Devil Egg: N006,Fallen Bear Cat,,,0,,
721,UR,Y,High School Kingpin Riki,Dodgeball Riki,,,UR,0,,
722,UR,Y,Hatsune Miku XVI,Hatsune Miku XVI CC,,,UR,0,,
723,UR,Y,Lightmother Aset,Nefer Aset,Almighty Aset,,UR,0,,
724,RR,Y,Ancient Egg: N112,Mystic Egg: N112,Cat Egg Pod,,,0,,
725,UR,Y,Ninja Girl Tomoe,Gourmand Ninja Girl Tomoe,,,UR,0,,
726,EX,Y,Medal King Cat,Great Medal King Cat,,,Plus20,0,,
727,UR,Y,SOL DAE ROKKER,SOL DAE ROKKER CC,,,UR,0,,
728,EX,Y,Master of Mind Soractes,Master of Mind Catcrates,,,,0,,
729,EX,Y,Summon (Soractes),,,,Summon,0,,
730,EX,Y,Ancient Egg: N204,Cinnabar Egg: N204,Lion Dancer Cat,,Plus20,0,,
731,LR,Y,Daybreaker Izanagi,Dawnbringer Izanagi,,,LR,0,,
732,LR,Y,Summon (Izanagi),,,,Summon,0,,
733,UR,Y,Pegasa,"Pegasa, type ν",,,UR,0,,
734,UR,Y,Summon (Pegasa),,,,Summon,0,,
735,EX,Y,Principal Cat,Midlife Crisis Cat,,,,0,,
736,UR,Y,Frozen Rose Cat,Arctic Bloom Cat,,,UR,0,,
737,UR,Y,Floral Kalisa,"Floral Kalisa, type X",,,UR,0,,
