ID,Form,Cost,Health,Damage,Range,KBCount,Speed,Cooldown,HasArea,Traits,Abilities
100,0,1935,994,277,152,1,9,28.67,T,Red,Strong
100,1,1935,994,277,152,1,9,28.67,T,Red,Strong
100,2,1935,1988,277,152,1,9,28.67,T,Red,Freeze_Immune-Strong
101,0,300,200,49,150,5,12,13.2,T,Red,Strong
101,1,300,200,49,150,5,12,13.2,T,Red,Strong
102,0,75,100,8,140,4,10,5,F,,
102,1,75,100,8,140,4,10,5,F,,
103,0,105,100,8,140,1,10,5,F,,
103,1,1950,200,180,900,1,4,392.27,T,,
103,2,1950,200,360,900,1,4,392.27,T,,
104,0,615,410,100,350,3,10,11.67,F,Red,Strong
104,1,615,410,100,350,3,10,11.67,F,Red,Strong
104,2,615,410,100,350,3,25,11.67,T,Red,Strong
105,0,4200,1400,2340,380,5,13,140,T,Dark-Red,Strong
105,1,4200,2300,3700,380,5,13,140,T,Dark-Red,Strong
105,2,4200,4300,4700,410,5,13,140,T,Dark-Red,Strong-Weaken_Immune
106,0,3990,4300,3110,175,2,8,80,T,Floating,Resistant-Survive
106,1,3990,5700,4990,175,2,8,80,T,Floating,Resistant-Survive
106,2,3990,11400,6990,175,2,16,80,T,Floating,Knockback_Immune-Resistant-Survive
107,0,3720,1270,1060,335,3,7,74.67,T,Floating,Freeze
107,1,3720,1960,1520,335,3,7,74.67,T,Floating,Freeze
107,2,3720,2650,1980,410,3,7,74.67,T,Floating,Freeze-Freeze_Immune
108,0,1020,320,263,170,4,10,9.67,T,,
108,1,1020,320,263,170,4,10,9.67,T,,
109,0,600,1140,18,110,1,8,16,T,,Multi_Hit
109,1,600,1140,18,110,1,8,16,T,,Multi_Hit
109,2,600,1710,18,110,1,8,16,T,,Multi_Hit-Survive-Warp_Immune
110,0,435,392,47,200,3,9,12.67,F,Red,Slow
110,1,435,532,88,200,3,9,12.67,F,Red,Slow
111,0,315,638,30,190,1,11,11,F,Dark,Resistant
111,1,315,747,48,190,1,11,11,F,Dark,Resistant
111,2,285,747,48,190,1,14,11,F,Dark,Curse_Immune-Resistant-Survive
112,0,480,270,24,265,3,9,14.67,F,Red,Knockback
112,1,480,320,34,265,3,9,14.67,F,Red,Knockback
113,0,645,480,195,155,3,10,13.33,F,Red,Freeze
113,1,645,580,255,155,3,10,13.33,F,Red,Freeze
114,0,1110,195,98,340,4,9,20.0,F,Dark,Slow
114,1,1110,265,138,340,4,9,20.0,F,Dark,Slow
