ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
200,SR,Y,Metal Cat,Metal Macho,,,Metal,0,,
201,RR,Y,Drumcorps Cat,Banner Cat,Mochi Cat,,,0,,
202,EX,Y,Baozi Cat,Big Baozi,,,Plus30,0,,
203,UR,Y,Kachi-Kachi,Fire Squad Kachiyama,Kachiyama Assault Brigade,,UR,2,Slow_Resist10-Defense10-Attack10-Cost_Down10-Recover_Speed10,Curse_Immune1-Strengthen10-Slow10
204,EX,N,Felyne,Felyne & Melynx,,,,0,,
205,EX,N,Sheria - Kirin,Sheria - KirinX,,,MonsterHunter,0,,
206,EX,N,Rathalos,Rathalos & Cat,,,MonsterHunter,0,,
207,EX,N,Rathian,Rathian & Cat,,,MonsterHunter,0,,
208,EX,N,Kirin Cat,Kirin Cat Kirin,,,MonsterHunter,0,,
209,EX,Y,Li'l Cat,Li'l Macho Cat,Li'l Mohawk Cat,,Lil,1,Critical1-Wave_Immune1-Slow_Immune1-Defense10-Attack10,
210,EX,Y,Li'l Tank Cat,Li'l Wall Cat,Li'l Eraser Cat,,Lil,1,Toxic_Resist10-Soulstrike1-Dodge10-Defense10-Attack10,
211,EX,Y,Li'l Axe Cat,Li'l Brave Cat,Li'l Dark Cat,,Lil,1,Target_Aku1-Freeze10-Surge_Resist10-Defense10-Attack10,
212,UR,Y,The White Rabbit,The Black Cat,The Grey Fox,The Spectral Cat,UR,1,Warp_Immune1-Curse_Immune1-Cost_Down10-Defense10-Attack10,
213,EX,Y,Catburger,Cat Royale,Value Meal Cat,,Plus35,0,,
214,RR,Y,HYAKUTARO,HYAKUTARO CC,,,,0,,
215,RR,Y,MARCO,MARCO CC,,,GachaRare,0,,
216,RR,Y,TARMA,TARMA CC,,,GachaRare,0,,
217,RR,Y,ERI,ERI CC,,,GachaRare,0,,
218,RR,Y,FIO,FIO CC,,,GachaRare,0,,
219,SR,Y,SV-001,SV-001 CC,,,GachaSR,0,,
220,SR,Y,ALLEN O'NEIL,ALLEN O'NEIL CC,,,GachaSR,0,,
221,RR,Y,MARS PEOPLE,MARS PEOPLE CC,,,GachaRare,0,,
222,UR,Y,HUGE HERMIT,HUGE HERMIT CC,GOLDEN HUGE HERMIT CC,,UR,0,,
223,UR,Y,JUPITER KING,JUPITER KING CC,GOLDEN JUPITER CC,,UR,0,,
224,UR,Y,DONALD MORDEN,GENERAL MORDEN,GOLDEN MORDEN CC,,UR,0,,
225,UR,Y,HI-DO,HI-DO CC,HI-DO MK III,,UR,0,,
