ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
400,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
401,,1000000,green_fruit,4,purple_fruit,4,blue_fruit,7,yellow_fruit,3,epic_fruit,3,100-100-100-175-175,,,,,,,,,,,,
402,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
403,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
404,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
405,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,
409,,500000,yellow_fruit,3,,,,,,,,,,,,,,,,,,,,,
410,,500000,red_fruit,3,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,
413,,1000000,epic_seed,1,aku_fruit,1,,,,,,,,,,,,,,,,,,,
414,,1000000,red_fruit,3,green_fruit,3,epic_fruit,1,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,
417,,1000000,green_fruit,7,purple_fruit,3,red_fruit,4,yellow_fruit,4,epic_fruit,3,235-100-175-100-175-175,,,,,,,,,,,,
418,CrazedMoneko,,,,,,,,,,,,,,,,,,,,,,,,
419,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
420,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
421,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
422,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
423,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
424,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
425,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
426,UR,1000000,yellow_seed,5,blue_seed,5,green_seed,5,elder_fruit,1,epic_fruit,10,,,,,,,,,,,,,
427,,1000000,green_seed,3,purple_seed,3,red_seed,3,elder_seed,1,epic_seed,1,235-100-175-175-175,2000000,purple_gem,2,red_gem,2,gold_seed,1,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,
431,,1000000,green_fruit,6,purple_fruit,3,red_fruit,3,blue_fruit,6,epic_fruit,3,100-100-175-175-175,2000000,purple_gem,2,gold_seed,1,,,,,,,
432,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
433,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
434,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,
436,,1000000,green_fruit,6,purple_fruit,5,red_fruit,5,yellow_fruit,5,epic_fruit,2,150-235-100-175-175,,,,,,,,,,,,
437,UR,1000000,gold_fruit,1,,,,,,,,,235-235-100-175-175,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,,,
439,,1000000,green_fruit,5,epic_seed,1,,,,,,,175-175-175-175-175,,,,,,,,,,,,
440,,1000000,blue_fruit,3,epic_fruit,1,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,,
443,,500000,epic_seed,1,purple_seed,10,,,,,,,,,,,,,,,,,,,
444,,500000,epic_seed,1,green_seed,10,,,,,,,,,,,,,,,,,,,
445,,500000,epic_seed,1,red_seed,10,,,,,,,,,,,,,,,,,,,
446,,500000,epic_seed,1,yellow_seed,10,,,,,,,,,,,,,,,,,,,
447,,500000,epic_seed,1,blue_seed,10,,,,,,,,,,,,,,,,,,,
448,,3000000,blue_fruit,5,blue_gem,1,,,,,,,,,,,,,,,,,,,
449,,3000000,red_fruit,5,green_fruit,3,green_gem,1,,,,,,,,,,,,,,,,,
450,,3000000,green_fruit,5,red_fruit,5,red_gem,1,green_gem,1,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,,,
453,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
454,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,
456,,1000000,epic_fruit,3,,,,,,,,,,,,,,,,,,,,,
457,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,
