ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
500,EX,Y,Shakurel Panda,Shakurel Panda CC,,,,0,,
501,RR,Y,Cat Bros,Baka Cat Bros,,,,0,,
502,UR,Y,Myrcia,"Myrcia, type ξ",Divine Myrcia ξ,,UR,1,Dodge10-Curse_Immune1-Surge_Immune1-Defense10-Attack10,
503,RR,N,2D Cat,3D Cat,,,,0,,
504,EX,N,Fatherly Cat (Shopkeeper),Fatherly Cat (Active Service),,,,0,,
505,UR,Y,Relentless Gladios,Gladios the Annihilator,God-Emperor Gladios,,UR,1,Mini_Wave10-Survive10-Cost_Down10-Defense10-Attack10,
506,UR,Y,Eyewaltz,Eyewaltz CC,Nameless Eyewaltz CC,,UR,1,Savage_Blow10-Weaken_Immune1-Knockback_Immune1-Slow_Resist10-Defense10,
507,RR,Y,Mightycat,Supercat,,,,0,,
508,RR,Y,Ryu Cat,Ryu Cat CC,,,,0,,
509,EX,Y,Chun-Li Cat,Chun-Li Cat CC,,,,0,,
510,LR,Y,Akuma,Akuma CC,,,LR,0,,
511,UR,Y,Ryu,Ryu CC,Kage,,UR,0,,
512,UR,Y,Chun-Li,Chun-Li CC,,,UR,0,,
513,UR,Y,Guile,Guile CC,,,UR,0,,
514,UR,Y,Zangief,Zangief CC,,,UR,0,,
515,UR,Y,Blanka,Blanka CC,,,UR,0,,
516,UR,Y,Dhalsim,Dhalsim CC,,,UR,0,,
517,UR,Y,Ken,Ken CC,Crimson King of Battle Ken,,UR,0,,
518,RR,Y,Akuma Giraffe,Akuma Lion,,,,0,,
519,UR,Y,Lasvoss,Ultimate Lasvoss,Lasvoss Reborn,,UR,1,Recover_Speed10-Colossus_Slayer1-Move_Speed10-Defense10-Attack10,
520,SR,Y,Good-Luck Ebisu,Bad-Luck Ebisu,,,GachaSR,0,,
521,RR,Y,Medusa Cat,Twintail Medusa Cat,Naga Cat,,,0,,
522,SR,Y,Nymph Cat,Medalist Cat,Fiend Cat,,GachaSR,1,Resistant1-Target_Angel1-Slow_Resist10-Defense10-Attack10,
523,RR,Y,Wushu Cat,Sifu Cat,Shigong Cat,,GachaRare,1,Weaken10-Warp_Immune1-Freeze_Resist10-Defense10-Attack10,
524,RR,N,Sorakara,Sorakara & Cat,,,,0,,
525,UR,Y,Kintaro,Kinrangers RoboForce,Kinrangers GigaForce,,UR,1,Target_Red1-Curse10-Freeze_Resist10-Defense10-Attack10,
526,UR,Y,Snow Angel Twinstars,"Snow Angel Twinstars, type Φ",,,UR,0,,
527,RR,Y,Slime Cat,Jellycat,Jelly Dumpling Cat,,,0,,
528,RR,Y,Cossack Cat,Vodka Cat,Royal Guard Cat,,,0,,
529,UR,Y,Kasli the Scourge,Ritual Saint Kasli,,,UR,0,,
530,UR,Y,Herme,Herme CC,,,UR,0,,
531,RR,Y,Teacher BearCat,Assassin BearCat,Cadaver BearCat,,,0,,
532,EX,Y,Urs & Fenrir,Urs & Minka,Awakened Urs,,,0,,
533,UR,Y,Sharpshooter Saki,Nighthunter Saki,Bad Blaster Saki,,UR,2,Strong1-Survive10-Freeze_Resist10-Defense10-Attack10,Target_Dark1-Strengthen10-Explosion_Immune1
534,UR,Y,Hades the Punisher,Hades the Deathdealer,Almighty Hades,,UR,1,Curse_Immune1-Slow10-Weaken10-Defense10-Attack10,
535,UR,Y,Hatsune Miku,Hatsune Miku CC,,,UR,0,,
536,UR,Y,Sakura Miku,Sakura Miku CC,,,UR,0,,
537,UR,Y,Kagamine Rin & Len,Kagamine Rin & Len CC,,,UR,0,,
