ID,Form,Cost,Health,Damage,Range,KBCount,Speed,Cooldown,HasArea,Traits,Abilities
500,0,1275,1800,450,140,2,6,40,F,,Wave-Zombie_Killer
500,1,1275,2450,600,140,2,6,40,F,,Wave-Zombie_Killer
501,0,450,300,200,140,3,10,13.33,T,Traitless,Resistant
501,1,450,300,200,140,3,10,13.33,T,Traitless,Resistant
502,0,4260,1800,1530,330,4,10,100,T,Traitless,Dodge-Multi_Hit-Wave
502,1,4260,2400,2010,330,4,10,100,T,Traitless,Dodge-Multi_Hit-Wave
502,2,4260,4800,2010,330,4,10,100,T,Traitless,Dodge-Multi_Hit-Wave
503,0,75,100,8,140,3,8,5,F,,
503,1,75,100,8,140,3,8,5,F,,
504,0,540,500,500,200,5,8,21.33,F,,Money_Up
504,1,540,500,500,200,5,16,21.33,F,,Money_Up
505,0,5625,4800,2600,440,3,4,163.33,T,Traitless,Knockback-Slow
505,1,5625,4800,2600,440,3,4,163.33,T,Traitless,Knockback-Slow
505,2,5625,7200,2600,440,3,4,163.33,T,Traitless,Knockback-Slow
506,0,3750,2600,1100,360,3,12,110,T,,Savage_Blow-Survive-Wave_Immune
506,1,3750,3600,1500,360,3,12,110,T,,Savage_Blow-Survive-Wave_Immune
506,2,3750,3600,1500,360,3,12,110,T,,Savage_Blow-Survive-Wave-Wave_Immune
507,0,720,1800,200,140,10,60,30,F,Traitless,Wave_Shield-Weaken
507,1,720,1800,200,140,10,60,30,F,Traitless,Wave_Shield-Weaken
508,0,675,490,40,350,3,10,18.0,F,Dark,Freeze
508,1,675,490,40,350,3,10,18.0,F,Dark,Freeze
509,0,600,600,180,180,3,10,20,F,,Critical-Multi_Hit
509,1,600,600,180,180,3,10,20,F,,Critical-Multi_Hit
510,0,4500,2000,1515,450,3,20,133.33,T,Traitless,Freeze_Immune-Insane_Damage-Multi_Hit
510,1,4500,2000,1515,450,3,20,133.33,T,Traitless,Freeze_Immune-Insane_Damage-Multi_Hit
511,0,3750,3000,480,480,5,18,166.67,T,,Savage_Blow
511,1,3750,3000,480,480,5,18,166.67,T,,Savage_Blow
511,2,3750,3000,480,480,5,18,166.67,T,,Savage_Blow-Strengthen
512,0,3450,4500,1500,300,4,25,100.0,F,Alien-Dark-Red,Knockback-Multi_Hit
512,1,3450,4500,1500,300,4,25,100.0,F,Alien-Dark-Red,Knockback-Multi_Hit
513,0,4200,3200,2150,380,2,21,133.33,T,Floating,Multi_Hit-Resistant-Slow-Weaken
513,1,4200,3200,2150,380,2,21,133.33,T,Floating,Multi_Hit-Resistant-Slow-Weaken
514,0,4200,8000,2000,210,2,9,120,T,Zombie,Dodge-Knockback_Immune-Multi_Hit-Omnistrike-Slow_Immune-Zombie_Killer
514,1,4200,8000,2000,210,2,9,120,T,Zombie,Dodge-Knockback_Immune-Multi_Hit-Omnistrike-Slow_Immune-Zombie_Killer
515,0,3300,2400,1500,150,8,55,66.67,T,Alien,Barrier_Breaker-Massive_Damage-Omnistrike
515,1,3300,2400,1500,150,8,55,66.67,T,Alien,Barrier_Breaker-Massive_Damage-Omnistrike
516,0,3750,4200,1740,350,5,6,100.0,T,Traitless,Multi_Hit-Weaken
516,1,3750,4200,1740,350,5,6,100.0,T,Traitless,Multi_Hit-Weaken
517,0,3600,4800,2160,250,3,19,93.33,T,Angel-Floating-Red,Knockback-Multi_Hit-Omnistrike-Strong
517,1,3600,4800,2160,250,3,19,93.33,T,Angel-Floating-Red,Knockback-Multi_Hit-Omnistrike-Strong
517,2,3600,5760,2880,250,3,19,93.33,T,Angel-Floating-Red,Knockback-Multi_Hit-Omnistrike-Slow_Immune-Strong-Weaken
518,0,840,500,50,300,5,35,26.0,T,Traitless,Long_Distance-Strong-Wave_Immune
518,1,840,500,50,300,5,35,26.0,T,Traitless,Long_Distance-Strong-Wave_Immune
519,0,5400,2000,6000,320,2,8,80,T,,Curse_Immune-Freeze_Immune-Knockback_Immune-Savage_Blow-Slow_Immune-Strengthen-Survive-Warp_Immune-Wave_Immune-Weaken_Immune
519,1,5400,2000,6000,320,2,8,80,T,,Curse_Immune-Freeze_Immune-Knockback_Immune-Savage_Blow-Slow_Immune-Strengthen-Survive-Warp_Immune-Wave_Immune-Weaken_Immune
519,2,5400,4000,9000,320,2,8,80,T,,Curse_Immune-Freeze_Immune-Knockback_Immune-Savage_Blow-Slow_Immune-Strengthen-Surge_Immune-Survive-Toxic_Immune-Warp_Immune-Wave_Immune-Weaken_Immune
520,0,2400,1600,630,400,3,9,53.33,F,All,Freeze-Knockback-Long_Distance-Money_Up-Multi_Hit-Slow-Weaken
520,1,2400,1600,630,400,3,9,53.33,F,All,Freeze-Knockback-Long_Distance-Money_Up-Multi_Hit-Slow-Weaken
521,0,750,570,120,350,3,8,16.67,T,Relic,Curse_Immune-Freeze-Long_Distance
521,1,750,570,120,350,3,8,16.67,T,Relic,Curse_Immune-Freeze-Long_Distance
521,2,750,855,120,350,3,8,16.67,T,Relic,Curse_Immune-Freeze-Long_Distance
522,0,975,360,550,300,4,16,26.67,T,,Long_Distance-Multi_Hit
522,1,975,480,750,300,4,16,26.67,T,,Long_Distance-Multi_Hit
522,2,975,750,750,300,4,16,26.67,T,Aku,Knockback-Long_Distance-Multi_Hit
523,0,360,510,219,120,1,9,14.67,F,Zombie,Multi_Hit-Resistant-Zombie_Killer
523,1,360,660,273,120,1,9,14.67,F,Zombie,Multi_Hit-Resistant-Zombie_Killer
523,2,360,960,273,120,1,9,14.67,F,Zombie,Multi_Hit-Resistant-Slow_Immune-Zombie_Killer
524,0,750,634,126,350,3,10,16.67,F,,Savage_Blow
524,1,750,634,126,350,3,10,16.67,F,,Savage_Blow
525,0,840,540,270,350,3,16,16.67,T,Angel,Long_Distance-Multi_Hit-Savage_Blow-Slow
525,1,4650,2100,1500,500,3,32,153.33,T,Angel,Long_Distance-Multi_Hit-Savage_Blow-Slow
525,2,4650,2700,1650,500,3,32,153.33,T,Angel,Curse-Long_Distance-Multi_Hit-Savage_Blow-Slow
526,0,3900,1100,930,350,4,27,75,T,Angel-Floating,Massive_Damage-Multi_Hit
526,1,3900,2200,1380,350,4,27,75,T,Angel-Floating,Massive_Damage-Multi_Hit
527,0,450,100,1500,140,1,15,21.33,F,,Wave
527,1,450,100,1500,140,1,15,21.33,F,,Wave
527,2,450,100,1500,180,1,20,21.33,F,,Wave
528,0,600,675,90,130,2,11,13.33,F,Relic,Curse_Immune-Massive_Damage-Multi_Hit
528,1,600,900,120,130,2,11,13.33,F,Relic,Curse_Immune-Massive_Damage-Multi_Hit
528,2,600,1400,210,165,2,15,13.33,F,Alien-Relic,Curse_Immune-Massive_Damage-Multi_Hit-Wave_Immune
529,0,780,750,600,275,4,6,21.33,T,All,Knockback-Long_Distance-Multi_Hit-Surge
529,1,4800,2900,1000,375,5,10,126.67,T,All,Curse_Immune-Knockback-Long_Distance-Surge-Wave_Immune-Weaken_Immune
530,0,3450,2400,1575,375,4,8,96.67,T,Zombie,Multi_Hit-Omnistrike-Strong-Zombie_Killer
530,1,3450,3200,2085,375,4,8,96.67,T,Zombie,Multi_Hit-Omnistrike-Strong-Zombie_Killer
531,0,660,800,480,140,2,10,13.33,T,Traitless,Insane_Damage
531,1,660,800,480,140,2,16,13.33,T,Dark,Insane_Damage
531,2,660,800,480,140,2,10,13.33,T,Zombie,Insane_Damage-Zombie_Killer
532,0,4875,1800,1100,445,4,8,173.33,T,Non-Metal,Curse_Immune-Weaken
532,1,4875,1800,1100,445,4,8,173.33,T,Non-Metal,Curse_Immune-Weaken
532,2,4875,2100,1350,460,4,8,173.33,T,Non-Metal,Behemoth_Slayer-Colossus_Slayer-Curse_Immune-Weaken
533,0,6300,2700,4000,600,3,21,66.67,T,Alien-Red,Long_Distance-Restricted_Target
