ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
0,N,Y,Cat,Macho Cat,Mohawk Cat,,Normal,0,,
1,N,Y,Tank Cat,Wall Cat,Eraser Cat,,Normal,0,,
2,N,Y,Axe Cat,Brave Cat,Dark Cat,,Normal,0,,
3,N,Y,Gross Cat,Sexy Legs Cat,Macho Leg Cat,,Normal,0,,
4,N,Y,Cow Cat,Giraffe Cat,Lion Cat,,Normal,0,,
5,N,Y,Bird Cat,UFO Cat,The Flying Cat,,Normal,0,,
6,N,Y,Fish Cat,Whale Cat,Island Cat,,Normal,0,,
7,N,Y,Lizard Cat,Dragon Cat,King Dragon Cat,,Normal,0,,
8,N,Y,Titan Cat,Mythical Titan Cat,Jamiera Cat,,Normal,0,,
9,EX,Y,Actress Cat,Mother Cat,Beefcake Cat,,,1,Strengthen10-Surge_Immune1-Slow_Resist10-Defense10-Attack10,
10,EX,Y,Kung Fu Cat,Drunken Master Cat,Dancer Cat,,,1,Surge10-Freeze_Immune1-Wave_Immune1-Defense10-Attack10,
11,EX,Y,Mr.,Super Mr.,Hyper Mr.,,,1,Knockback10-Freeze_Immune1-Warp_Immune1-Defense10-Attack10,
12,EX,Y,Bondage Cat,Bondage CatNEO,Ultimate Bondage Cat,,,1,Freeze10-Dodge10-Slow_Immune1-Defense10-Attack10,
13,EX,Y,Dom Cat,Executioner,Dark Lazer,,,1,Wave10-Weaken_Immune1-Cost_Down10-Defense10-Attack10,
14,EX,Y,Cats in a Box,Cat Gang,Heavy Assault C.A.T.,,,1,Massive_Damage1-Weaken_Immune1-Slow_Resist10-Defense10-Attack10,
15,EX,Y,Panties Cat,Leaf Cat,Lollycat,,,1,Slow10-Weaken_Immune1-Freeze_Resist10-Defense10-Attack10,
16,EX,Y,Moneko,Miss MONEKO,Superstar MONEKO,,,0,,
17,EX,Y,Tricycle Cat,Biker Cat,Unicycle Cat,,,0,,
18,EX,Y,Ninja Cat,Ninja Frog Cat,Flying Ninja Cat,,,1,Target_Dark1-Dodge10-Move_Speed10-Defense10-Attack10,
19,EX,Y,Zombie Cat,Devil Cat,Skelecat,,,1,Weaken10-Slow_Resist10-Recover_Speed10-Defense10-Attack10,
20,EX,Y,Samurai Cat,Knight Cat,Pastry Cat,,,1,Barrier_Breaker10-Weaken10-Slow_Resist10-Defense10-Attack10,
21,EX,Y,Sumo Cat,Madame Sumo,Riceball Cat,,,1,Freeze_Immune1-Toxic_Immune1-Slow_Immune1-Defense10-Attack10,
22,EX,Y,Boogie Cat,Samba Cat,Gato Amigo,,,1,Knockback10-Surge_Immune1-Freeze_Resist10-Slow_Resist10-Defense10,
23,EX,Y,Skirt Cat,Tights Cat,Loincloth Cat,,,1,Barrier_Breaker10-Warp_Immune1-Weaken10-Defense10-Attack10,
24,EX,Y,Valkyrie Cat,True Valkyrie Cat,Holy Valkyrie Cat,,,1,Strengthen10-Freeze10-Cost_Down10-Defense10-Attack10,
25,EX,Y,Bahamut Cat,Crazed Bahamut Cat,Awakened Bahamut Cat,,,1,Explosion10-Slow_Immune1-Move_Speed10,
26,EX,Y,Kerihime,Full color Kerihime,Bridal Princess Punt,,,0,,
27,EX,Y,Cat Princess,Cat Princess beauty,,,,0,,
28,EX,Y,Capsule Cat,Cramped Cats,,,,0,,
29,EX,N,Masked Cat,Luchador Cat,,,,0,,
30,SR,Y,Bodhisattva Cat,Avalokitesvara Cat,Tathagata Cat,,GachaSR,1,Weaken10-Slow10-Defense10-Attack10-Move_Speed10,
31,SR,Y,Delinquent Cat,Angry Delinquent Cat,Ultra Delinquent Cat,,GachaSR,1,Strengthen10-Savage_Blow10-Weaken_Resist10-Defense10-Attack10,
32,SR,Y,Hip Hop Cat,Dancing Flasher Cat,Can Can Cat,,GachaSR,1,Money_Up1-Target_Alien1-Defense10-Attack10-Move_Speed10,
33,SR,Y,Kotatsu Cat,Sadako Cat,Octopus Cat,,GachaSR,1,Weaken10-Slow_Resist10-Freeze_Resist10-Curse_Immune1-Defense10,
34,UR,Y,Nekoluga,Unknown Cat,Ultralan Pasalan,,UR,2,Freeze10-Wave_Resist10-Defense10-Attack10-Cost_Down10,Surge_Immune1-Survive10-Dodge10
35,SR,Y,Nerd Cat,Hacker Cat,Cyberpunk Cat,,GachaSR,1,Slow10-Survive10-Barrier_Breaker10-Attack10-Cost_Down10,
36,SR,Y,Swimmer Cat,Butterfly Cat,Fishman Cat,,GachaSR,1,Slow10-Slow_Resist10-Defense10-Attack10-Move_Speed10,
37,RR,Y,Pogo Cat,Masai Cat,Jiangshi Cat,,GachaRare,1,Slow_Resist10-Wave_Resist10-Defense10-Attack10-Move_Speed10,
38,RR,Y,Wheel Cat,Solar Cat,Chill Cat,,GachaRare,1,Knockback10-Weaken_Resist10-Defense10-Attack10-Cost_Down10,
39,SR,Y,Apple Cat,Face Cat,iCat,,GachaSR,1,Slow_Resist10-Freeze_Resist10-Move_Speed10-Defense10-Attack10,
40,SR,Y,Bath Cat,Sexy Bathtub Cat,Luxury Bath Cat,,GachaSR,1,Knockback10-Weaken_Resist10-Wave_Resist10-Defense10-Attack10,
41,RR,Y,Salon Cat,Paris Cat,Cyborg Cat,,GachaRare,1,Survive10-Toxic_Immune1-Freeze_Resist10-Defense10-Attack10,
42,UR,Y,Ice Cat,Ice Queen Cat,Ice Crystal Cat,,UR,2,Survive10-Slow_Resist10-Curse_Immune1-Defense10-Attack10,Strengthen10-Dodge10-Target_Metal1
43,UR,Y,Cat Machine,Cat Machine Mk 2,Cat Machine Mk 3,,UR,2,Freeze10-Knockback_Immune1-Move_Speed10-Defense10-Attack10,Attack_Rate10-Curse_Immune1-Barrier_Breaker10
