ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
400,EX,Y,Imoto,Imoto CC,,,,0,,
401,UR,Y,Voli,Volta,Gigavolta,,UR,1,Curse_Immune1-Slow_Immune1-Freeze_Immune1-Defense10-Attack10,
402,RR,Y,Shinji & Cat,Plug Suit Shinji,Plug Suit Shinji Black,,,0,,
403,EX,Y,Gendo & Fuyutsuki Cats,Moon Gendo & Fuyutsuki Cats,,,,0,,
404,RR,Y,Giraffe Unit-01,Giraffe Unit-02,,,,0,,
405,EX,Y,Kaworu & Cat,Plug Suit Kaworu,Moon Kaworu,,,0,,
406,RR,Y,Rei Cat,Ayanami Cat (TBC),,,GachaRare,0,,
407,RR,Y,Asuka Cat,Apron Asuka,,,GachaRare,0,,
408,RR,Y,Mari Cat,Special Ops Mari,,,GachaRare,0,,
409,SR,Y,Rei Ayanami,Plug Suit Rei,Reunion Li'l Rei,,GachaSR,0,,
410,SR,Y,Asuka Langley,Plug Suit Asuka,Eyepatch Li'l Asuka,,GachaSR,0,,
411,SR,Y,Mari Illustrious,Plug Suit Mari,,,GachaSR,0,,
412,UR,Y,Eva Unit-00,Eva Unit-00 & Cat,,,UR,0,,
413,UR,Y,Eva Unit-01,Eva Unit-01 & Cat,Determined Unit-01 & Cat,,UR,0,,
414,UR,Y,Eva Unit-02,Eva Unit-02 & Cat,"Unit-02, Code 777",,UR,0,,
415,UR,Y,Shinji Cat,Toji & Kensuke Cats,,,UR,0,,
416,UR,Y,Moon Operators,NERV Moon,,,UR,0,,
417,UR,Y,Mighty Thermae D-Lux,Subterra Guardians,Subterra Sentinels,,UR,1,Strengthen10-Curse_Immune1-Freeze_Resist10-Soulstrike1-Defense10-Attack10,
418,EX,Y,Crazed Moneko,Corrupted Moneko,,,,0,,
419,RR,Y,Pokota,Pokota CC,,,,0,,
420,RR,Y,Ovis,Ovis CC,,,,0,,
421,RR,Y,Coco,Coco CC,,,,0,,
422,RR,N,Moe Uzumasa & Cat,Moe Uzumasa & Cat CC,,,,0,,
423,RR,N,Saki Matsuga & Cat,Saki Matsuga & Cat CC,,,,0,,
424,RR,N,Misa Ono & Cat,Misa Ono & Cat CC,,,,0,,
425,EX,N,Rei Uzumasa & Cat,Rei Uzumasa & Cat CC,,,,0,,
426,EX,Y,Mecha-Bun,Mecha-Bun Mk II,Ultimate Mecha-Bun,,,0,,
427,UR,Y,Cat Clan Heroes,Cat Guild Heroes,Cat Quest Heroes,Heavenly Cat Heroes,UR,1,Dodge10-Toxic_Immune1-Weaken_Resist10-Defense10-Attack10,
428,RR,Y,Souma Cat,Stylish Souma Cat,,,GachaRare,0,,
429,SR,Y,Otaku Geek Cat,Hacker Geek Cat,,,GachaSR,0,,
430,UR,N,Gude-Cat Machine,Gude-Cat Machine - Egg,,,UR,0,,
431,UR,Y,Detective Vigler,Inspector Gabriel,Section Chief Gravicci,Arcane Commissioner Gravicci,UR,1,Target_Relic1-Curse_Immune1-Freeze_Resist10-Defense10-Attack10,
432,RR,Y,Betakkuma,Black Betakkuma,,,,0,,
433,EX,Y,Nekokkuma,Killer Nekokkuma,,,,0,,
434,EX,N,White Swordsman Cat,Black Swordsman Cat,,,,0,,
435,UR,Y,Li'l Valkyrie,Wind Dancer Valkyrie,,,UR,0,,
436,UR,Y,Nobiluga,Nobilan Pasalan,Mystican Pasalan,,UR,1,Strong1-Survive10-Toxic_Immune1-Defense10-Attack10,
437,EX,Y,Cat God the Great,Cat God the Awesome,Cat God the Golden,,,1,Weaken10-Dodge10-Curse_Immune1-Defense10-Attack10,
438,UR,Y,Waverider Kuu,"Waverider Kuu, type γ",,,UR,0,,
439,UR,Y,Empress Chronos,Chronos the Infinite,Almighty Chronos,,UR,1,Curse_Resist10-Slow_Resist10-Move_Speed10-Defense10-Attack10,
440,UR,Y,Bebe,Nagisa & Cat,Law of Cycles Nagisa,,UR,0,,
441,UR,Y,D'arktanyan,Valiant D'arktanyan,,,UR,0,,
442,RR,Y,Lone Cat and Kitten,Vendor Cat and Kitten,Tourist Cat,,,0,,
443,SR,Y,Driller Cat,Power Driller Cat,Neo Driller Cat,,GachaSR,0,,
444,SR,Y,Piledriver Cat,Power Piledriver Cat,Neo Piledriver Cat,,GachaSR,0,,
445,SR,Y,Cutter Cat,Power Cutter Cat,Neo Cutter Cat,,GachaSR,0,,
446,SR,Y,Backhoe Cat,Power Backhoe Cat,Neo Backhoe Cat,,GachaSR,0,,
447,SR,Y,Miter Saw Cat,Power Saw Cat,Neo Saw Cat,,GachaSR,0,,
448,LR,Y,Musashi Miyamoto,Wargod Miyamoto,Immortal Miyamoto,,LR,0,,
449,LR,Y,Jeanne,Jeanne ψ,Divine Jeanne ψ,,LR,1,,
450,LR,Y,High Lord Babel,Babel the Darkflame,God-Emperor Babel,,LR,0,,
451,LR,Y,Ushiwakamaru,Colossal Benkei,,,LR,0,,
452,RR,Y,Primordial Cat,Modern Cat,Future Cat,,,0,,
453,EX,N,Kitarou,GeGeGe no Kitarou,,,,0,,
454,EX,N,Medama-Oyaji,Bathing Oyaji,,,,0,,
455,LR,Y,Wonder MOMOCO,Cutie MOMOCO,,,LR,0,,
456,UR,Y,Sakura Matou,Sakura Matou CC,Dark Sakura CC,,UR,1,Weaken10-Toxic_Immune1-Curse_Resist10-Defense10-Attack10,
457,EX,Y,Shirou the Cat,Novice Mage Shirou Cat,,,,0,,
458,RR,Y,Archer the Cat,Heroic Spirit Archer Cat,,,GachaRare,0,,
459,RR,Y,Rider the Cat,Heroic Spirit Rider Cat,,,GachaRare,0,,
460,SR,Y,Kotomine & Gilgamesh Cats,Gilgamesh & Kotomine Cats,,,GachaSR,0,,
461,LR,Y,Legeluga,Legelan Pasalan,,,LR,0,,
462,EX,Y,Filibuster Cat X,Filibuster Cat Y,Metafilibuster,,,1,Massive_Damage1-Freeze10-Recover_Speed10-Defense10-Attack10,
463,LR,Y,Mighty Kristul Muu,Doom Engine Pandora,,,LR,0,,
464,EX,Y,Dogumaru,Doguemon,Reborn Warrior Doguemon,,,0,,
465,RR,N,Maji Cat & Cat Tour Group,Maji Cat & Cat Tour Taiwan,,,,0,,
466,LR,Y,Black Zeus,Dark Lord Zeus,,,LR,0,,
467,UR,Y,Super Zeus,All-Powerful Super Zeus,Super S-Zeus,,UR,1,Zombie_Killer1-Warp_Immune1-Cost_Down10-Defense10-Attack10,
468,UR,Y,Holy Phoenix,Holy Warrior Phoenix,Head Rococo,,UR,1,Colossus_Slayer1-Knockback10-Slow_Immune1-Defense10-Attack10,
469,UR,Y,Super Devil,Imposter Super Devil,Super D-Devil,,UR,1,Target_Relic1-Weaken10-Curse_Immune1-Defense10-Attack10,
470,UR,Y,Satanmaria,Wondermaria,,,UR,0,,
471,UR,Y,Heracrist,Perfect Heracrist,Dark Heracrist,,UR,0,,
472,SR,Y,Fiendish Nero,Beastly Nero,Huge Nero,,GachaSR,0,,
473,RR,Y,Prince Yamato,Holy Yamato,Rampaging Yamato,,,0,,
474,EX,Y,Rosary Angel,Cross Angel,Strike Angel,,Plus20,0,,
475,EX,Y,Wakamiko Cat,Warrior King Cat,,,Plus20,0,,
476,EX,Y,Cat Devil,Infernal Cat,,,Plus20,0,,
477,EX,Y,Nekonosuke,Old Guardian Cat,,,Plus20,0,,
478,LR,Y,Lumina,Luminalia,,,LR,0,,
479,EX,Y,Gummy Cat,Lucky Cat,Gummy Cat Soda,,,0,,
480,RR,N,Neko-Musume,Cat Neko-Musume,,,,0,,
481,LR,Y,Doktor Heaven,Professor Abyss,,,LR,0,,
482,UR,Y,Benevolent Souma,Souma & Cat,Cat-Eared Souma,,UR,1,Curse10-Dodge10-Curse_Immune1-Defense10-Attack10,
483,RR,Y,Kano & Souma,Kano & Souma & Cat,,,,0,,
484,UR,Y,Li'l Valkyrie Dark,Dark Rider Valkyrie,,,UR,0,,
485,UR,Y,Calette,Calette CC,,,UR,0,,
486,SR,Y,Hina,Swordswoman Hina,,,GachaSR,0,,
487,UR,Y,Eva Unit-08,Eva Unit-08 & Cat,,,UR,0,,
488,UR,Y,AAA Wunder,NNN Wunder,Vanished NNN Wunder,,UR,0,,
489,SR,Y,Misato Katsuragi,Captain Misato,,,GachaSR,0,,
490,SR,Y,Ritsuko Akagi,First Officer Ritsuko,,,GachaSR,0,,
491,SR,Y,Rei Ayanami (???),Awakened Ayanami,,,GachaSR,0,,
492,RR,N,HAPPI,HAPPI & Maji Cat,HAPPI & Maji Cat & Cat,,,0,,
493,LR,Y,Gaia the Creator,Gaia the Supreme,,,LR,0,,
494,UR,Y,Seabreeze Coppermine,"Seabreeze Coppermine, type κ",,,UR,0,,
495,RR,Y,Matador Cat,Flamenco Cat,Bellydance Cat,,GachaRare,1,Target_Aku1-Slow10-Freeze_Resist10-Defense10-Attack10,
496,UR,Y,Narita Kaihime,Wargod Kaihime,Immortal Kaihime,Cleansing Flame Kaihime,UR,1,Weaken10-Curse_Immune1-Cost_Down10-Defense10-Attack10,
497,EX,Y,Shakurel Cat,Shakurel Macho Cat,,,,0,,
498,EX,Y,Shakurel Lion,Shakurel Lion CC,,,,0,,
499,EX,Y,Shakurel Tiger,Shakurel Tiger CC,,,,0,,
