ID,Form,Cost,Health,Damage,Range,KBCount,Speed,Cooldown,HasArea,Traits,Abilities
0,0,75,100,8,140,3,10,5,F,,
0,1,75,100,8,140,3,10,5,F,,
0,2,75,200,16,140,3,10,5,F,,
1,0,150,400,2,110,1,8,8,T,,
1,1,150,400,2,110,1,8,8,T,,
1,2,150,600,4,110,1,8,8,T,,
2,0,300,200,25,150,3,12,7,F,Red,Strong
2,1,300,200,25,150,3,12,7,F,Red,Strong
2,2,300,400,50,150,3,12,10,F,Red,Strong
3,0,600,400,100,350,3,10,11,F,,
3,1,600,400,100,350,3,10,11,F,,
3,2,600,800,200,350,3,10,16.33,F,Alien,Strong
4,0,750,500,13,140,5,30,9.33,F,,
4,1,750,500,13,140,5,30,9.33,F,,
4,2,750,1000,26,140,5,30,13.33,F,,
5,0,975,300,140,170,4,10,8.33,T,,
5,1,975,300,165,170,4,10,8.33,T,,
5,2,975,600,330,170,4,10,12.33,T,Angel,Weaken
6,0,1200,700,180,150,3,10,13.0,F,Red,Strong
6,1,1200,700,180,150,3,10,13.0,F,Red,Strong
6,2,1200,1400,360,150,3,10,17.0,F,Red,Critical-Strong
7,0,1500,800,350,400,3,10,19,F,,
7,1,1500,800,350,400,3,10,19,F,,
7,2,1500,900,400,400,3,10,25.67,F,,
8,0,1950,1000,280,150,1,8,27.33,T,,
8,1,1950,1000,280,150,1,8,27.33,T,,
8,2,1950,2000,560,150,1,8,31.33,T,Non-Metal,Knockback
9,0,900,400,100,350,3,10,11,T,,
9,1,900,400,100,350,3,10,11,T,,
9,2,900,650,100,350,3,10,11,T,,
10,0,2250,900,1100,300,1,9,28.67,T,,
10,1,2250,900,1210,300,1,9,28.67,T,,Multi_Hit
10,2,2250,900,1210,330,1,9,28.67,T,,Weaken_Immune
11,0,825,500,35,140,5,31,16,T,,
11,1,825,500,35,140,5,31,16,T,,
11,2,825,500,35,140,5,47,16,T,,Zombie_Killer
12,0,1035,700,100,120,1,5,14.67,F,Red,Strong
12,1,1035,700,100,120,1,5,14.67,F,Red,Strong
12,2,1035,1400,100,120,1,5,14.67,F,Red,Strong-Survive-Warp_Immune
13,0,1440,700,132,210,1,5,14.67,F,Red,Multi_Hit-Strong
13,1,1440,700,132,210,1,5,14.67,F,Red,Multi_Hit-Strong
13,2,1440,700,132,210,1,5,14.67,F,Dark-Red,Strong
14,0,1125,800,300,140,3,35,15.33,T,,
14,1,1125,800,300,140,3,35,15.33,T,,
14,2,1125,800,300,199,3,30,15.33,T,Dark,Weaken
15,0,525,400,100,350,3,10,11,F,,
