ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
800,UR,Y,Summon (Morta-Loncha),,,,Summon,0,,
801,EX,Y,Master of Logic Newtone,Master of Logic Mewtone,,,,0,,
802,EX,Y,Summon (Newtone),,,,Summon,0,,
803,UR,Y,Sonic,Sonic & Cat,,,UR,0,,
804,UR,Y,Tails,Tails & Cat,,,UR,0,,
805,UR,Y,Knuckles,Knuckles & Cat,,,UR,0,,
806,UR,Y,Shadow,Shadow & Cat,,,UR,0,,
807,RR,Y,Sonic Cat,Sonic Cat CC,,,,0,,
808,EX,Y,Tails Cat,Tails Cat CC,,,,0,,
809,RR,Y,Shadow Cat,Shadow Cat CC,,,GachaRare,0,,
810,UR,Y,Agent Stahl,Blade Master Stahl,,,UR,0,,
811,UR,Y,Victorious Skanda,Zeta Skanda,,,UR,0,,
812,UR,Y,Summon (Skanda),,,,Summon,0,,
813,EX,Y,Tasmanian Giant Crab,Tasmanian Giant Crab CC,,,Plus10,0,,
814,UR,Y,Mass Production Eva Unit,Mass Production Eva Cat Unit,,,UR,0,,
815,LR,Y,Boy of Moonlight Kaworu,Messenger of Moonset Kaworu,,,LR,0,,
816,UR,Y,Summon (Kaworu),,,,Summon,0,,
817,UR,Y,Komori,Moririn,,,UR,0,,
818,UR,Y,Summon (Komori),,,,Summon,0,,
819,RR,Y,Carpenter Cat,Rapper Cat,,,,0,,
820,UR,Y,Seaside Pegasa,Seaside Pegasa v,,,UR,0,,
821,UR,Y,Summon (Seaside Pegasa),,,,Summon,0,,
822,EX,Y,Consultant Cat,Business Partner Cat,,,Plus10,0,,
823,EX,N,Manager Cat & Clerk Cat,Manager Cat & Clerk Cat CC,,,,0,,
824,UR,Y,Sorceress Sidmi,Flame Mage Sidmi,,,UR,0,,
825,UR,Y,Summon (Sidmi),,,,Summon,0,,
826,UR,Y,Cammy,Cammy CC,,,UR,0,,
827,UR,Y,Juri,Juri CC,,,UR,0,,
828,SR,Y,Zangief Cat,Zangief Cat CC,,,GachaSR,0,,
829,SR,Y,Jamie Cat,Jamie Cat CC,,,GachaSR,0,,
830,UR,Y,Raclesa,"Raclesa, type Σ",,,UR,0,,
831,EX,N,Scarf Cat,Red Cat,,,Plus25,0,,
832,EX,N,Hat Cat,Blue Cat,,,,0,,
833,EX,N,Helmet Cat,Yellow Cat,,,,0,,
834,EX,N,Goggle Cat,Green Cat,,,,0,,
835,EX,N,Ribbon Cat,Pink Cat,,,,0,,
836,UR,N,Nyanko-Oh,Super Great Nyanko-Oh DX,,,,0,,
837,UR,Y,Squire Luno,Lunos the Luminous,,,UR,0,,
838,UR,Y,Summon (Luno),,,,Summon,0,,
839,UR,Y,Summon (Lunos),,,,Summon,0,,
840,UR,Y,Tanjiro Kamado,Tanjiro Kamado CC,,,UR,0,,
841,UR,Y,Nezuko Kamado,Nezuko Kamado CC,,,UR,0,,
842,UR,Y,Zenitsu Agatsuma,Zenitsu Agatsuma CC,,,UR,0,,
843,UR,Y,Inosuke Hashibira,Inosuke Hashibira CC,,,UR,0,,
844,UR,Y,Giyu Tomioka,Giyu Tomioka CC,,,UR,0,,
845,UR,Y,Shinobu Kocho,Shinobu Kocho CC,,,UR,0,,
846,UR,Y,Kyojuro Rengoku,Kyojuro Rengoku CC,,,UR,0,,
847,SR,Y,Li'l Sakonji Urokodaki,Li'l Sakonji Urokodaki CC,,,GachaSR,0,,
848,RR,Y,Tanjiro Cat,Tanjiro Cat CC,,,,0,,
849,EX,Y,Nezuko Cat,Nezuko Cat CC,,,,0,,
850,UR,Y,Fuma Kotaro,Wargod Kotaro,,,UR,0,,
851,RR,Y,Paperboy Cat,Bargain Cat,,,,0,,
852,RR,Y,Killer Cowbird Cat,True Killer Cowbird Cat,,,,0,,
853,EX,Y,Occultist Cat,Gyaru Cat,,,FunniDanceCatcademy,0,,
854,EX,Y,Master of Selection Darvin,Master of Selection Clawvin,,,,0,,
855,EX,Y,Summon (Darvin),,,,Summon,0,,
856,RR,N,Nyanko Village Cat,Nyanko Village Cat CC,,,,0,,
857,EX,N,Barista Cat,Silver Cat,,,,0,,
858,EX,N,Commander Cat,Gold Cat,,,,0,,
859,UR,Y,Lone Moon Lunos,Lunos the Eclipsed,,,UR,0,,
860,UR,Y,Summon (Moon Lunos),,,,Summon,0,,
861,UR,Y,Vornado,Tempest King Vornado,,,UR,0,,
862,UR,Y,Hanzo the Betrothed,Hanzo the Groom,,,UR,0,,
863,EX,Y,The Invisible Cat,Groom Cat,,,Plus10,0,,
864,UR,N,Shirou Emiya,Shirou Emiya CC,,,UR,0,,
865,UR,N,True Assassin,True Assassin CC,,,UR,0,,
