ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
700,BadCollab,200000,purple_stone,8,red_stone,9,blue_stone,10,green_stone,11,yellow_stone,12,,,,,,,,,,,,,
701,Advent,,,,,,,,,,,,,,,,,,,,,,,,
702,Advent,,,,,,,,,,,,,,,,,,,,,,,,
703,Advent,,,,,,,,,,,,,,,,,,,,,,,,
704,Advent,,,,,,,,,,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,,,,,,,,,,
706,,500000,blue_stone,12,green_stone,12,yellow_stone,3,,,,,,,,,,,,,,,,,
707,Advent,200000,purple_stone,15,red_stone,15,yellow_stone,1,,,,,,,,,,,,,,,,,
708,Advent,,,,,,,,,,,,,,,,,,,,,,,,
709,,,,,,,,,,,,,,,,,,,,,,,,,
710,,,,,,,,,,,,,,,,,,,,,,,,,
711,,,,,,,,,,,,,,,,,,,,,,,,,
712,,1000000,purple_fruit,4,blue_fruit,4,green_fruit,4,yellow_fruit,6,epic_fruit,5,,,,,,,,,,,,,
713,BadCollab,200000,purple_stone,10,red_stone,10,,,,,,,,,,,,,,,,,,,
714,,,,,,,,,,,,,,,,,,,,,,,,,
715,,1000000,purple_fruit,10,red_fruit,10,epic_fruit,3,,,,,,,,,,,,,,,,,
716,,500000,blue_stone,10,yellow_stone,5,green_gem,1,yellow_gem,1,,,,,,,,,,,,,,,
717,Advent,200000,purple_stone,20,red_gem,2,blue_gem,2,,,,,,,,,,,,,,,,,
718,Advent,,,,,,,,,,,,,,,,,,,,,,,,
719,,1000000,purple_fruit,4,red_fruit,3,blue_fruit,7,yellow_fruit,4,epic_fruit,3,,,,,,,,,,,,,
720,BadCollab,200000,purple_stone,15,blue_stone,15,red_gem,2,green_gem,2,yellow_gem,1,,,,,,,,,,,,,
721,,,,,,,,,,,,,,,,,,,,,,,,,
722,,,,,,,,,,,,,,,,,,,,,,,,,
723,,1000000,epic_seed,1,yellow_fruit,5,,,,,,,,,,,,,,,,,,,
724,Advent,200000,red_stone,15,green_stone,15,purple_gem,2,blue_gem,2,,,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,,,,,,,,,,,
726,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
727,,,,,,,,,,,,,,,,,,,,,,,,,
728,UR,,,,,,,,,,,,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,,,,,,,,,,,
730,BadCollab,200000,purple_stone,10,red_stone,10,,,,,,,,,,,,,,,,,,,
731,,,,,,,,,,,,,,,,,,,,,,,,,
732,,,,,,,,,,,,,,,,,,,,,,,,,
733,,,,,,,,,,,,,,,,,,,,,,,,,
734,,,,,,,,,,,,,,,,,,,,,,,,,
735,P2WCat,,,,,,,,,,,,,,,,,,,,,,,,
736,,,,,,,,,,,,,,,,,,,,,,,,,
737,,,,,,,,,,,,,,,,,,,,,,,,,
738,,,,,,,,,,,,,,,,,,,,,,,,,
739,,,,,,,,,,,,,,,,,,,,,,,,,
740,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
741,,,,,,,,,,,,,,,,,,,,,,,,,
742,,,,,,,,,,,,,,,,,,,,,,,,,
743,Advent,,,,,,,,,,,,,,,,,,,,,,,,
744,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
745,P2WCat,,,,,,,,,,,,,,,,,,,,,,,,
746,,,,,,,,,,,,,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,,,,,,,
748,,,,,,,,,,,,,,,,,,,,,,,,,
749,,,,,,,,,,,,,,,,,,,,,,,,,
750,,,,,,,,,,,,,,,,,,,,,,,,,
751,,,,,,,,,,,,,,,,,,,,,,,,,
752,Advent,,,,,,,,,,,,,,,,,,,,,,,,
753,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
754,,,,,,,,,,,,,,,,,,,,,,,,,
755,,,,,,,,,,,,,,,,,,,,,,,,,
756,,,,,,,,,,,,,,,,,,,,,,,,,
757,BadCollab,200000,purple_stone,10,red_stone,10,,,,,,,,,,,,,,,,,,,
758,,,,,,,,,,,,,,,,,,,,,,,,,
759,,,,,,,,,,,,,,,,,,,,,,,,,
760,,,,,,,,,,,,,,,,,,,,,,,,,
761,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,
763,,,,,,,,,,,,,,,,,,,,,,,,,
764,,,,,,,,,,,,,,,,,,,,,,,,,
765,BadCollab,200000,purple_stone,10,red_stone,10,,,,,,,,,,,,,,,,,,,
