ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
100,RR,Y,Maiden Cat,Sportsgirl Cat,Wrestling Cat,,,0,,
101,EX,N,Clone Elle,Clone Elle CC,,,,0,,
102,EX,N,Red Marron,Red Marron CC,,,,0,,
103,EX,Y,Cabaret Cat,Mega Cat,Mega Cat EX,,,0,,
104,RR,Y,Koi Cat,Gross Koi Cat,Kiss and Koi,,,0,,
105,UR,Y,Kuu,"Kuu, type γ",Divine Kuu γ,,UR,2,Weaken10-Wave_Resist10-Curse_Immune1-Defense10-Attack10,Attack_Rate10-Target_Relic1-Surge_Immune1
106,UR,Y,Kai,"Kai, type μ",Divine Kai μ,,UR,2,Shield_Pierce10-Wave_Resist10-Weaken_Resist10-Slow_Resist10-Attack10,Target_Aku1-Curse_Immune1-Defense10
107,UR,Y,Coppermine,"Coppermine, type κ",Divine Coppermine κ,,UR,2,Wave_Resist10-Slow_Resist10-Cost_Down10-Defense10-Attack10,Attack_Rate10-Target_Zombie1-Mini_Surge10
108,EX,Y,Cat Bros,Secret Base,,,,0,,
109,RR,Y,Madam Bride,Madam King,Madam the Savannah,,,0,,
110,RR,Y,Celesse,Celesse CC,,,GachaRare,0,,
111,RR,Y,Nono,Nono CC,Frolicking Nono CC,,GachaRare,0,,
112,RR,Y,Olga,Olga CC,,,GachaRare,0,,
113,RR,Y,Norn,Norn CC,,,GachaRare,0,,
114,RR,Y,Yoichi,Yoichi CC,,,GachaRare,0,,
115,RR,Y,Serum,Serum CC,,,GachaRare,0,,
116,RR,Y,Fuu,Fuu CC,,,GachaRare,0,,
117,SR,Y,Aura,Aura CC,,,GachaSR,0,,
118,SR,Y,Rei,Rei CC,,,GachaSR,0,,
119,UR,Y,Wyvern,Wyvern Cat,Wyvern and Alec,,UR,0,,
120,EX,Y,Healer,Healer CC,Healer Cat CC,,,0,,
121,EX,Y,Merc,Merc CC,Merc & Cat CC,,,0,,
122,RR,Y,Vacation Queen,Office Lady Cat,Call Center Cat,,,0,,
123,EX,Y,Bean Cats,Brah Cats,Val Val Cat,,,0,,
124,UR,Y,Date Masamune,Wargod Masamune,Immortal Masamune,,UR,2,Knockback10-Wave_Resist10-Slow_Immune1-Defense10-Attack10,Mini_Wave10
125,UR,Y,Takeda Shingen,Wargod Shingen,Immortal Shingen,,UR,2,Barrier_Breaker10-Target_Angel1-Defense10-Attack10-Cost_Down10,Target_Red1-Target_Zombie1-Target_Aku1
126,RR,Y,Clockwork Cat,Puppetmaster Cat,Puppetmaster & Charley,,,0,,
127,EX,Y,Flower Cat,Cooldown Cat,Bombercat,,,0,,
128,RR,Y,Vengeful Cat,Groucho Cat,Kite Cat,,,0,,
129,SR,Y,Gold Cat,Gold Macho Cat,Glittering Macho Cat,,GachaSR,0,,
130,EX,Y,Ururun Wolf,Ururun Cat,Awakened Ururun,,,0,,
131,SR,Y,Neneko,Miss NENEKO,,,GachaSR,0,,
132,RR,Y,Kung Fu Cat X,Drunken Master Cat X,Iron Claw X,,,0,,
